province,procedure,year,volume,p50_wait_days,p90_wait_days,pct_meeting_benchmark,pop_65plus,pop_source,pop_vintage,procedures_per_100k_65plus,rate_basis,reporting_window,provenance,provenance_flag,confidence_interval,cihi_table,cihi_sheet,cihi_source_rows
New Brunswick,Hip,2021,950.0,178.0,475.0,51.0,178652,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,531.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13082;13083;13084;13085
Newfoundland and Labrador,Hip,2021,427.0,169.0,458.0,55.0,123208,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,346.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13126;13127;13128;13129
Nova Scotia,Hip,2021,1089.0,152.0,588.0,59.0,217785,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,500.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13166;13167;13168;13169
Ontario,Hip,2021,15070.0,104.0,303.0,74.293297942933,2671337,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,564.1,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13206;13207;13208;13209
Prince Edward Island,Hip,2021,273.0,147.6,405.0,59.3,33293,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,820.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13250;13251;13252;13253
Quebec,Hip,2021,7801.0,179.0,448.0,50.8524548134855,1727292,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,451.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13290;13291;13292;13293
Saskatchewan,Hip,2021,1481.0,255.5,594.0,40.1080351114112,198565,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,745.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13330;13331;13332;13333
Alberta,Hip,2022,5267.0,217.0,501.0,43.0,668205,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,788.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14850;14851;14852;14853
British Columbia,Hip,2022,7293.0,145.0,333.0,61.8401206636501,1054174,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,691.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14890;14891;14892;14893
Manitoba,Hip,2022,2069.0,194.0,546.2,47.4625422909618,236133,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,876.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14930;14931;14932;14933
New Brunswick,Hip,2022,1276.0,257.0,503.0,37.0,185107,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,689.3,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14970;14971;14972;14973
Newfoundland and Labrador,Hip,2022,533.0,204.0,554.0,44.0,126975,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,419.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15014;15015;15016;15017
Nova Scotia,Hip,2022,1586.0,179.0,634.0,50.7,225308,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,703.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15054;15055;15056;15057
Ontario,Hip,2022,20499.0,103.0,320.0,73.345041221523,2763435,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,741.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15094;15095;15096;15097
Prince Edward Island,Hip,2022,193.0,191.4,581.9,48.2,34523,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,559.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15138;15139;15140;15141
Quebec,Hip,2022,9202.0,201.0,472.0,46.1638774179526,1787639,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,514.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15178;15179;15180;15181
Saskatchewan,Hip,2022,2353.0,285.0,716.0,36.2940926476838,204647,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,1149.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15218;15219;15220;15221
Alberta,Hip,2023,5821.0,131.0,433.0,62.4,705070,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,825.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16738;16739;16740;16741
British Columbia,Hip,2023,7770.0,127.0,350.0,63.9124839124839,1090768,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,712.3,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16778;16779;16780;16781
Manitoba,Hip,2023,2011.0,148.0,462.0,60.0,243724,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,825.1,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16818;16819;16820;16821
New Brunswick,Hip,2023,1505.0,229.0,411.0,41.1295681063123,191378,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,786.4,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16858;16859;16860;16861
Newfoundland and Labrador,Hip,2023,688.0,185.0,605.0,49.7093023255814,130952,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,525.4,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16902;16903;16904;16905
Nova Scotia,Hip,2023,1800.0,139.0,577.0,57.8888888888889,232630,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,773.8,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16942;16943;16944;16945
Ontario,Hip,2023,22474.0,91.0,269.0,79.7009878081338,2859636,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,785.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16982;16983;16984;16985
Prince Edward Island,Hip,2023,236.0,218.5,497.9,41.1,35729,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,660.5,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17026;17027;17028;17029
Quebec,Hip,2023,9558.0,188.0,434.0,48.932831136221,1847289,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,517.4,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17066;17067;17068;17069
Saskatchewan,Hip,2023,2483.0,212.0,592.0,46.757954087797,211510,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,1173.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17106;17107;17108;17109
Alberta,Hip,2024,5848.0,118.0,329.0,70.1,742451,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,787.7,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18626;18627;18628;18629
British Columbia,Hip,2024,8518.0,130.0,368.0,64.27565,1129229,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,754.3,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18666;18667;18668;18669
Manitoba,Hip,2024,2205.0,179.0,447.0,51.4545454545455,251817,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,875.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18706;18707;18708;18709
New Brunswick,Hip,2024,1405.0,197.0,383.0,46.0,197263,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,712.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18746;18747;18748;18749
Nova Scotia,Hip,2024,1970.0,118.0,418.0,68.0,239758,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,821.7,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18830;18831;18832;18833
Ontario,Hip,2024,23272.0,82.0,236.0,82.377964936,2964438,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,785.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18870;18871;18872;18873
Prince Edward Island,Hip,2024,285.0,253.0,587.5,37.9,36849,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,773.4,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18914;18915;18916;18917
Quebec,Hip,2024,10730.0,185.0,417.0,49.42218,1906357,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,562.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18954;18955;18956;18957
Saskatchewan,Hip,2024,2419.0,174.0,476.0,52.046300124,218531,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,1106.9,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18994;18995;18996;18997
Alberta,Knee,2020,5063.0,206.0,442.0,43.3,606936,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,834.2,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12070;12071;12072;12073
British Columbia,Knee,2020,8988.0,157.0,370.0,56.7,982576,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,914.7,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12110;12111;12112;12113
Manitoba,Knee,2020,2096.0,245.0,499.0,37.0,222516,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,942.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12150;12151;12152;12153
New Brunswick,Knee,2020,1773.0,280.0,560.0,30.0,172296,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,1029.0,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12190;12191;12192;12193
Newfoundland and Labrador,Knee,2020,445.0,288.0,507.0,33.0,118470,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,375.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12234;12235;12236;12237
Nova Scotia,Knee,2020,1859.0,260.0,663.0,39.5,210159,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,884.6,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12274;12275;12276;12277
Ontario,Knee,2020,23058.0,115.0,371.0,66.2069563708908,2587513,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),July 1 estimate of the calendar year the fiscal year opens in,891.1,"12-month (fiscal year) count per 100,000 population 65+; this IS an annual rate","Fiscal year, April-March (12 months)",Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,12314;12315;12316;12317
