province,procedure,year,volume,p50_wait_days,p90_wait_days,pct_meeting_benchmark,pop_65plus,pop_source,pop_vintage,procedures_per_100k_65plus,rate_basis,reporting_window,provenance,provenance_flag,confidence_interval,cihi_table,cihi_sheet,cihi_source_rows
Alberta,Hip,2021,2162.0,154.0,392.0,59.3,636049,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",339.9,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10186;10187;10188;10189
British Columbia,Hip,2021,3447.0,102.0,287.0,72.1,1018096,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",338.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10274;10275;10276;10277
Manitoba,Hip,2021,687.0,169.0,444.0,55.0,229374,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",299.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10410;10411;10412;10413
New Brunswick,Hip,2021,572.0,168.0,484.0,54.0,178652,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",320.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10498;10499;10500;10501
Newfoundland and Labrador,Hip,2021,241.0,165.0,502.0,57.0,123208,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",195.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10562;10563;10564;10565
Nova Scotia,Hip,2021,564.0,152.0,608.0,59.0,217785,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",259.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10650;10651;10652;10653
Ontario,Hip,2021,7212.0,104.0,302.0,75.0831946755408,2671337,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",270.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10730;10731;10732;10733
Prince Edward Island,Hip,2021,142.0,162.1,347.9,56.3,33293,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",426.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10826;10827;10828;10829
Quebec,Hip,2021,3495.0,176.0,440.0,51.9,1727292,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",202.3,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,10882;10883;10884;10885
Saskatchewan,Hip,2021,687.0,234.0,639.0,42.6491994177584,198565,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",346.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,11074;11075;11076;11077
Alberta,Hip,2022,2553.0,232.0,497.0,38.1,668205,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",382.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13866;13867;13868;13869
British Columbia,Hip,2022,3571.0,149.0,333.0,62.1,1054174,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",338.7,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,13954;13955;13956;13957
Manitoba,Hip,2022,1050.0,217.0,549.0,43.0,236133,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",444.7,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14090;14091;14092;14093
New Brunswick,Hip,2022,563.0,232.0,491.0,38.0,185107,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",304.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14178;14179;14180;14181
Newfoundland and Labrador,Hip,2022,253.0,197.0,505.0,45.0,126975,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",199.3,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14242;14243;14244;14245
Nova Scotia,Hip,2022,745.0,191.0,608.0,48.6,225308,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",330.7,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14330;14331;14332;14333
Ontario,Hip,2022,9643.0,108.0,320.0,71.834491340869,2763435,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",348.9,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14410;14411;14412;14413
Prince Edward Island,Hip,2022,83.0,164.4,540.4,53.0,34523,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",240.4,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14506;14507;14508;14509
Quebec,Hip,2022,3674.0,203.0,469.0,45.2,1787639,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",205.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14562;14563;14564;14565
Saskatchewan,Hip,2022,1116.0,309.0,725.5,34.3189964157706,204647,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",545.3,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,14754;14755;14756;14757
Alberta,Hip,2023,2867.0,140.0,459.0,58.5,705070,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",406.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15754;15755;15756;15757
British Columbia,Hip,2023,3704.0,120.0,346.0,64.6,1090768,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",339.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15842;15843;15844;15845
Manitoba,Hip,2023,1087.0,154.0,511.4,58.6936522539099,243724,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",446.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,15978;15979;15980;15981
New Brunswick,Hip,2023,658.0,229.0,408.0,42.0,191378,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",343.8,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16066;16067;16068;16069
Newfoundland and Labrador,Hip,2023,359.0,198.0,578.0,48.0,130952,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",274.1,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16130;16131;16132;16133
Nova Scotia,Hip,2023,810.0,166.0,599.0,52.6,232630,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",348.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16218;16219;16220;16221
Ontario,Hip,2023,11082.0,91.0,276.0,79.020032485111,2859636,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",387.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16298;16299;16300;16301
Prince Edward Island,Hip,2023,111.0,231.4,530.9,38.7,35729,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",310.7,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16394;16395;16396;16397
Quebec,Hip,2023,4026.0,175.0,434.0,51.6,1847289,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",217.9,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16450;16451;16452;16453
Saskatchewan,Hip,2023,1264.0,232.0,619.0,43.9873417721519,211510,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",597.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,16642;16643;16644;16645
Alberta,Hip,2024,2762.0,109.0,317.0,72.8,742451,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",372.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17642;17643;17644;17645
British Columbia,Hip,2024,4229.0,133.0,371.0,63.2,1129229,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",374.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17730;17731;17732;17733
Manitoba,Hip,2024,1053.0,175.0,474.0,54.0,251817,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",418.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17866;17867;17868;17869
New Brunswick,Hip,2024,630.0,179.0,349.0,50.0,197263,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",319.4,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,17954;17955;17956;17957
Newfoundland and Labrador,Hip,2024,348.0,216.0,710.0,41.0,134891,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",258.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18018;18019;18020;18021
Nova Scotia,Hip,2024,926.0,124.0,498.0,64.0,239758,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",386.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18106;18107;18108;18109
Ontario,Hip,2024,11515.0,83.0,239.0,82.0060790273556,2964438,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",388.4,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18186;18187;18188;18189
Prince Edward Island,Hip,2024,148.0,204.0,512.0,45.3,36849,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",401.6,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18282;18283;18284;18285
Quebec,Hip,2024,4878.0,188.0,428.0,48.9,1906357,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",255.9,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18338;18339;18340;18341
Saskatchewan,Hip,2024,1226.0,181.5,510.0,50.2446982055465,218531,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",561.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,18530;18531;18532;18533
Alberta,Hip,2025,2981.0,134.0,406.0,63.0,779999,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",382.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,19530;19531;19532;19533
British Columbia,Hip,2025,4365.0,131.0,356.0,64.1,1167246,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",374.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,19618;19619;19620;19621
Manitoba,Hip,2025,1183.0,193.0,448.0,47.0,260365,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",454.4,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,19754;19755;19756;19757
New Brunswick,Hip,2025,761.0,179.0,397.0,51.0,202747,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",375.3,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,19850;19851;19852;19853
Newfoundland and Labrador,Hip,2025,341.0,159.0,567.0,55.0,138514,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",246.2,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,19914;19915;19916;19917
Nova Scotia,Hip,2025,966.0,103.0,289.0,77.0,246752,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",391.5,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,20002;20003;20004;20005
Ontario,Hip,2025,11952.0,76.0,230.0,83.8353413654618,3069697,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",389.4,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,20082;20083;20084;20085
Prince Edward Island,Hip,2025,141.0,273.0,515.0,30.5,38105,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",370.0,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,20178;20179;20180;20181
Quebec,Hip,2025,4790.0,169.0,377.0,54.0,1964452,Table 17-10-0005-01 (Product ID 17100005; CANSIM 051-0001),"July 1 estimate, same calendar year (window midpoint)",243.8,"6-month (Apr-Sep) count per 100,000 population 65+; NOT annualized",April-September (6 months),Provincial ministry/agency submission (aggregate),self-reported,"not available - CIHI publishes aggregate percentiles, not case-level data","Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2025",Table 1,20234;20235;20236;20237
